iter	RMSE
0	0.2024903757
1	0.1945969658
2	0.186920818
3	0.179390632
4	0.1725736433
5	0.1659937649
6	0.1596438401
7	0.1539462899
8	0.1481405336
9	0.142378918
10	0.1373910846
11	0.1326867202
12	0.1281093054
13	0.1234102356
14	0.1189999933
15	0.1147876829
16	0.1112602604
17	0.1073990091
18	0.103925559
19	0.1006035028
20	0.09735103829
21	0.09466609894
22	0.09190978592
23	0.08925175759
24	0.08663643985
25	0.08419780784
26	0.0821115542
27	0.08019997463
28	0.07824561819
29	0.07640785606
30	0.0745623107
31	0.07282856187
32	0.0714084555
33	0.07012564552
34	0.06883687906
35	0.06753595514
36	0.06645745929
37	0.06538132073
38	0.06423298697
39	0.06322249045
40	0.06230020197
41	0.06149334227
42	0.06063295002
43	0.05982259308
44	0.05914663786
45	0.05841352827
46	0.05789153089
47	0.0573570269
48	0.05674699537
49	0.05627089012
50	0.05574776859
51	0.05535075207
52	0.05497240292
53	0.05454068639
54	0.05415636107
55	0.05380366737
56	0.05354475188
57	0.05329408864
58	0.05295561561
59	0.05270903393
60	0.05245728196
61	0.0522559184
62	0.05208313722
63	0.05188395847
64	0.05172393456
65	0.05153926839
66	0.05133718858
67	0.05117266667
68	0.05098282442
69	0.05087064546
70	0.05074162021
71	0.05061582648
72	0.05052988869
73	0.05042564
74	0.05030552428
75	0.05016880109
76	0.05004525284
77	0.04995546647
78	0.04986281057
79	0.04979078365
80	0.04969569857
81	0.04964766595
82	0.04957106874
83	0.04951431546
84	0.04944942277
85	0.04938060279
86	0.04931022922
87	0.04924156881
88	0.04916634007
89	0.04912360549
90	0.04907938335
91	0.04903064049
92	0.04898611462
93	0.0489501125
94	0.04890533835
95	0.04883608053
96	0.04878955995
97	0.04876700591
98	0.04873241029
99	0.04869649208
100	0.04866807991
101	0.04864890331
102	0.04861142606
103	0.04857508922
104	0.04855504219
105	0.0485316152
106	0.04850393791
107	0.04847296
108	0.04845811692
109	0.04842856127
110	0.04839985201
111	0.04837251122
112	0.04834231854
113	0.0482970423
114	0.04828329387
115	0.04826392095
116	0.04824685761
117	0.04823706008
118	0.04821978553
119	0.04819851261
120	0.04817273003
121	0.04814257589
122	0.04812639921
123	0.04810557582
124	0.04807002906
125	0.04805854452
126	0.04804358752
127	0.04802299397
128	0.04801215341
129	0.04798965745
130	0.04798672392
131	0.04796029262
132	0.04793704013
133	0.04792895313
134	0.04789153327
135	0.04787026092
136	0.04783787419
137	0.04781013391
138	0.04779433069
139	0.0477854421
140	0.04777812903
141	0.0477658281
142	0.04774901323
143	0.0477313726
144	0.04770635309
145	0.04768907611
146	0.04767091364
147	0.04765594765
148	0.04763481578
149	0.04762368611
150	0.0476062481
151	0.04758903799
152	0.04757713251
153	0.04754550113
154	0.04752189877
155	0.04751436954
156	0.04750897763
157	0.04749569479
158	0.0474851317
159	0.04746740602
160	0.04744187066
161	0.04741927567
162	0.04739321611
163	0.04738521923
164	0.04736741409
165	0.04735086371
166	0.0473326027
167	0.0473239038
168	0.04730934566
169	0.04729017387
170	0.04727430903
171	0.04724548983
172	0.04723205409
173	0.04722684421
174	0.04720035167
175	0.04719460749
176	0.04718501748
177	0.04716642894
178	0.04715038646
179	0.04713272712
180	0.04711433794
181	0.04710110662
182	0.04708841168
183	0.04706972449
184	0.04706125506
185	0.0470499373
186	0.04703239233
187	0.04701600718
188	0.04699701079
189	0.04696012037
190	0.04694602849
191	0.04694222209
192	0.04693348831
193	0.04690649821
194	0.04688186552
195	0.04687825787
196	0.04685575748
197	0.04684198957
198	0.04683849649
199	0.0468351063
200	0.04682776601
201	0.04680381463
202	0.0467698689
203	0.04675991726
204	0.04675589242
205	0.04674400025
206	0.04674063106
207	0.04673291323
208	0.04671506381
209	0.04671127146
210	0.04670845515
211	0.0466905758
212	0.04668748442
213	0.04668400748
214	0.04667799181
215	0.04667492298
216	0.0466661803
217	0.04666371316
218	0.04666083858
219	0.04665835536
220	0.04665609937
221	0.04664806208
222	0.04663150968
223	0.0466064985
224	0.04659060268
225	0.04655961793
226	0.04654352619
227	0.04653474357
228	0.04653261919
229	0.0465179581
230	0.04650890811
231	0.04650646056
232	0.04646596558
233	0.04645570289
234	0.04645406616
235	0.04643224322
236	0.04643080521
237	0.04642299106
238	0.04640773721
239	0.0464055358
240	0.04640364205
241	0.04639898737
242	0.04638767439
243	0.04637689826
244	0.04635402767
245	0.04635218889
246	0.04634526345
247	0.0463344933
248	0.04632103905
249	0.04631973768
250	0.04630866734
251	0.04630697235
252	0.04626989717
253	0.04624147145
254	0.04623124287
255	0.04621878145
256	0.04621152692
257	0.04620065369
258	0.04616719072
259	0.04615503871
260	0.04613217122
261	0.04613028163
262	0.04612850636
263	0.04610208168
264	0.04607779472
265	0.04606414653
266	0.04604414165
267	0.04603371459
268	0.04601910103
269	0.0460071636
270	0.04600541743
271	0.04598701039
272	0.04596937321
273	0.04595978287
274	0.04595870143
275	0.04594366405
276	0.04593770711
277	0.04593134089
278	0.04591934119
279	0.04590984107
280	0.04589253958
281	0.04588415968
282	0.04586664907
283	0.04586508176
284	0.04586368678
285	0.04583913133
286	0.04583804846
287	0.04582351274
288	0.04582260244
289	0.04580516617
290	0.04578840475
291	0.04578712799
292	0.04577758262
293	0.04576832102
294	0.04576698977
295	0.04575157155
296	0.04573967857
297	0.04571345819
298	0.04569506865
299	0.04566495194
